,land_area,n_gas_station_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hotel_in_1km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_mart_in_1km,n_mart_in_1km_to_2km,n_pre_school_in_1km_to_2km,n_secondary_school_in_1km,n_seven_eleven_in_3km_to_5km,nearest_super_market,n_super_market_in_1km_to_2km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,h3_price_mean,h3_price_median,h3_price_min,price_per_m2
4851,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2343.75
4852,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2343.75
4853,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2343.75
4854,128.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2343.75
4855,127.8,13,25,54,1,6,24,4,23,22,6,18,4,20,3,5,24,2016.0049520072835,1442.5531914893618,212.7659574468085,2346.635367762128
4856,127.8,13,25,54,1,6,24,4,23,22,6,18,4,20,3,5,24,2016.0049520072835,1442.5531914893618,212.7659574468085,2346.635367762128
4857,127.8,13,25,54,1,6,24,4,23,22,6,18,4,20,3,5,24,2016.0049520072835,1442.5531914893618,212.7659574468085,2346.635367762128
4858,127.8,13,25,54,1,6,24,4,23,22,6,18,4,20,3,5,24,2016.0049520072835,1442.5531914893618,212.7659574468085,2346.635367762128
4859,127.8,13,25,54,1,6,24,4,23,22,6,18,4,20,3,5,24,2016.0049520072835,1442.5531914893618,212.7659574468085,2346.635367762128
4860,136.18,9,12,34,0,1,6,4,15,16,2,18,0,5,0,3,8,2316.476454584686,2058.745414627768,295.0,2092.8183286826256
4861,136.18,9,12,34,0,1,6,4,15,16,2,18,0,5,0,3,8,2316.476454584686,2058.745414627768,295.0,2092.8183286826256
4862,136.18,9,12,34,0,1,6,4,15,16,2,18,0,5,0,3,8,2316.476454584686,2058.745414627768,295.0,2092.8183286826256
4863,136.18,9,12,34,0,1,6,4,15,16,2,18,0,5,0,3,8,2316.476454584686,2058.745414627768,295.0,2092.8183286826256
4864,99.0,5,3,13,0,2,6,0,6,11,3,17,0,7,0,3,5,2190.739996894242,1827.7777777777778,446.4196428571428,1918.1818181818185
4865,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4866,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4867,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4868,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4869,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4870,333.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,1801.8018018018013
4871,98.7,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,1712.25937183384
4872,98.7,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1382.2546740381656,1329.850059969418,120.0,1712.25937183384
4873,91.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2417.5824175824177
4874,91.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2417.5824175824177
4875,91.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2417.5824175824177
4876,91.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2417.5824175824177
4877,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4878,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4879,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4880,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4881,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4882,156.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,2179.48717948718
4883,160.0,4,24,50,5,19,47,5,29,18,5,14,2,25,3,10,31,2719.744225229168,2708.7912087912086,106.25,1875.0
4884,160.0,4,24,50,5,19,47,5,29,18,5,14,2,25,3,10,31,2719.744225229168,2708.7912087912086,106.25,1875.0
4885,160.0,4,24,50,5,19,47,5,29,18,5,14,2,25,3,10,31,2719.744225229168,2708.7912087912086,106.25,1875.0
4886,160.0,4,24,50,5,19,47,5,29,18,5,14,2,25,3,10,31,2719.744225229168,2708.7912087912086,106.25,1875.0
4887,72.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1862.0689655172407
4888,72.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1862.0689655172407
4889,72.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1862.0689655172407
4890,72.5,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1862.0689655172407
4891,450.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1888.888888888889
4892,450.0,1,29,44,8,27,39,5,32,16,3,12,2,23,2,14,39,2850.3425128950394,2714.390872285609,108.031212484994,1888.888888888889
4893,64.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,1875.0
4894,64.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,1875.0
4895,135.0,4,40,39,5,15,48,10,28,23,5,14,1,29,4,9,37,2719.744225229168,2708.7912087912086,106.25,2000.0
4896,135.0,4,40,39,5,15,48,10,28,23,5,14,1,29,4,9,37,2719.744225229168,2708.7912087912086,106.25,2000.0
4897,135.0,4,40,39,5,15,48,10,28,23,5,14,1,29,4,9,37,2719.744225229168,2708.7912087912086,106.25,2000.0
4898,135.0,4,40,39,5,15,48,10,28,23,5,14,1,29,4,9,37,2719.744225229168,2708.7912087912086,106.25,2000.0
4899,49.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,2653.061224489796
4900,49.0,0,1,0,0,0,2,0,1,1,0,10,0,2,0,0,1,2069.136074663387,1829.9881936245567,166.66666666666666,2653.061224489796
4901,160.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1687.5
4902,160.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1687.5
4903,160.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1687.5
4904,160.0,12,12,27,0,1,4,3,14,13,3,23,0,5,0,2,9,2316.476454584686,2058.745414627768,295.0,1687.5
4905,127.81,4,48,29,11,55,14,15,37,15,12,12,7,37,6,24,88,3009.260073759125,3083.3331843623355,1953.125,2112.5107581566385
4906,127.81,4,48,29,11,55,14,15,37,15,12,12,7,37,6,24,88,3009.260073759125,3083.3331843623355,1953.125,2112.5107581566385
4907,127.81,4,48,29,11,55,14,15,37,15,12,12,7,37,6,24,88,3009.260073759125,3083.3331843623355,1953.125,2112.5107581566385
4908,127.81,4,48,29,11,55,14,15,37,15,12,12,7,37,6,24,88,3009.260073759125,3083.3331843623355,1953.125,2112.5107581566385
4909,127.81,4,48,29,11,55,14,15,37,15,12,12,7,37,6,24,88,3009.260073759125,3083.3331843623355,1953.125,2112.5107581566385
4910,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4911,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4912,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4913,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4914,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4915,116.0,14,35,50,3,5,34,8,23,21,4,17,2,20,4,5,26,2748.1060957443865,2348.279151684156,110.0,3531.5775862068967
4916,160.93,9,48,42,3,7,47,9,26,32,4,11,1,29,2,8,43,3031.239083977175,3938.730853391685,813.0081300813008,4616.914186292177
4917,160.93,9,48,42,3,7,47,9,26,32,4,11,1,29,2,8,43,3031.239083977175,3938.730853391685,813.0081300813008,4616.914186292177
4918,160.93,9,48,42,3,7,47,9,26,32,4,11,1,29,2,8,43,3031.239083977175,3938.730853391685,813.0081300813008,4616.914186292177
4919,160.93,9,48,42,3,7,47,9,26,32,4,11,1,29,2,8,43,3031.239083977175,3938.730853391685,813.0081300813008,4616.914186292177
4920,72.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,1944.4444444444443
4921,72.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,1944.4444444444443
4922,72.0,2,12,24,1,15,47,2,15,3,3,17,2,3,2,3,35,1970.7172473585426,1767.7777777777778,170.13588235294117,1944.4444444444443
4923,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4924,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4925,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4926,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4927,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4928,72.0,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,902.7777777777778
4929,102.06,6,2,24,3,1,10,1,11,16,1,17,1,9,2,2,11,2044.3448078727786,1805.555555555556,500.0,1224.7697432882617
4930,102.06,6,2,24,3,1,10,1,11,16,1,17,1,9,2,2,11,2044.3448078727786,1805.555555555556,500.0,1224.7697432882617
4931,472.0,1,8,19,0,12,49,2,12,0,1,17,3,1,2,3,25,1694.1158450191476,1405.0,258.636615555145,3177.966101694916
4932,170.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2941.0
4933,170.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2941.0
4934,170.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2941.0
4935,170.0,6,12,45,1,8,11,2,18,21,6,19,1,17,1,5,15,2423.3576950227744,2204.8611111111113,150.0,2941.0
4936,55.0,7,10,34,1,6,11,3,13,16,3,21,0,10,1,3,13,2423.3576950227744,2204.8611111111113,150.0,6000.0
4937,55.0,7,10,34,1,6,11,3,13,16,3,21,0,10,1,3,13,2423.3576950227744,2204.8611111111113,150.0,6000.0
4938,55.0,7,10,34,1,6,11,3,13,16,3,21,0,10,1,3,13,2423.3576950227744,2204.8611111111113,150.0,6000.0
4939,55.0,7,10,34,1,6,11,3,13,16,3,21,0,10,1,3,13,2423.3576950227744,2204.8611111111113,150.0,6000.0
4940,80.56,0,2,0,0,0,0,0,0,3,0,4,0,2,0,0,0,2184.343779721194,1988.636363636364,562.5,1613.7040714995037
4941,80.56,0,2,0,0,0,0,0,0,3,0,4,0,2,0,0,0,2184.343779721194,1988.636363636364,562.5,1613.7040714995037
4942,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4943,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4944,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4945,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4946,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4947,121.09,13,36,49,3,5,36,9,23,26,4,18,2,20,3,6,28,2748.1060957443865,2348.279151684156,110.0,6136.047567924684
4948,66.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,8333.333333333334
4949,66.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,8333.333333333334
4950,66.0,14,48,22,23,35,15,14,28,12,2,17,1,28,15,41,72,2606.024445285722,2115.4273029966707,104.16666666666669,8333.333333333334
