id,left,top,right,bottom,row_index,col_index,cambodia_h,cambodia_1,cambodia_2,cambodia_3,cambodia_4,Lon,lat
2147,589228.276954233646393,1285651.935345211764798,600775.282338026096113,1275651.935345211764798,34,44,25.076313557809463,57.000000000000000,8.142857142857142,11.000000000000000,119200.169080581079470,105.85608490,11.55085742
2148,589228.276954233646393,1275651.935345211764798,600775.282338026096113,1265651.935345211764798,35,44,1858.620671948418021,185946.000000000000000,3508.415094339622556,11.000000000000000,119260.747424985165708,105.85647330,11.49344028
2149,589228.276954233646393,1265651.935345211764798,600775.282338026096113,1255651.935345211764798,36,44,5221.154861894436181,565414.000000000000000,9748.517241379309780,12.000000000000000,119830.996319738900638,105.85849520,11.40658118
2150,589228.276954233646393,1255651.935345211764798,600775.282338026096113,1245651.935345211764798,37,44,8595.441457224078476,1066296.000000000000000,20505.692307692312170,12.000000000000000,121296.903409505408490,105.85660700,11.30919841
2151,589228.276954233646393,1245651.935345211764798,600775.282338026096113,1235651.935345211764798,38,44,10841.186901337467134,1478569.000000000000000,17192.662790697675518,12.000000000000000,124088.065009187019314,105.87019550,11.22184719
2152,589228.276954233646393,1235651.935345211764798,600775.282338026096113,1225651.935345211764798,39,44,10296.429216337390244,1469379.999999999767169,16509.887640449436731,12.000000000000000,126817.266745173154050,105.86998680,11.13143815
2153,589228.276954233646393,1225651.935345211764798,600775.282338026096113,1215651.935345211764798,40,44,15106.456706489900171,1854153.000000000000000,21069.920454545455868,12.000000000000000,130259.504574685706757,105.86971950,11.04100909
2154,589228.276954233646393,1215651.935345211764798,600775.282338026096113,1205651.935345211764798,41,44,7283.333860734477639,823960.000000000000000,10299.500000000000000,12.000000000000000,134554.782484651077539,105.87286030,10.95305045
2155,589228.276954233646393,1205651.935345211764798,600775.282338026096113,1195651.935345211764798,42,44,1828.227777352556586,170078.000000000000000,4859.371428571428623,11.000000000000000,139880.814491005003219,105.88579210,10.87405346
2164,597888.530992078129202,1590651.935345211764798,609435.536375870578922,1580651.935345211764798,3,45,0.006354946258328,5.000000000000000,1.000000000000000,11.000000000000000,343240.986258110555355,106.00363530,14.34114418
2168,597888.530992078129202,1550651.935345211764798,609435.536375870578922,1540651.935345211764798,7,45,0.000000000000000,0.000000000000000,,,299557.649254338582978,105.94667470,13.93423760
2169,597888.530992078129202,1540651.935345211764798,609435.536375870578922,1530651.935345211764798,8,45,7807.411664936691523,277715.000000000000000,3192.126436781609300,11.000000000000000,295638.788322326843627,105.95894230,13.88754836
2170,597888.530992078129202,1530651.935345211764798,609435.536375870578922,1520651.935345211764798,9,45,306.959546215832233,10172.000000000000000,114.292134831460672,11.000000000000000,286675.355360236077104,105.95904570,13.79853073
2171,597888.530992078129202,1520651.935345211764798,609435.536375870578922,1510651.935345211764798,10,45,476.755658693611622,15463.000000000000000,175.715909090909093,11.000000000000000,277782.957050692464691,105.95867770,13.70812167
2172,597888.530992078129202,1510651.935345211764798,609435.536375870578922,1500651.935345211764798,11,45,2386.331160992383957,81893.000000000000000,930.602272727272748,11.000000000000000,268968.638936977309640,105.95831230,13.61771195
2173,597888.530992078129202,1500651.935345211764798,609435.536375870578922,1490651.935345211764798,12,45,34205.675271283835173,2629440.000000000000000,29544.269662921349664,11.000000000000000,260240.334849224280333,105.95794960,13.52730156
2174,597888.530992078129202,1490651.935345211764798,609435.536375870578922,1480651.935345211764798,13,45,4786.335219633299857,158763.000000000000000,1783.853932584269614,11.000000000000000,251606.996485503099393,105.95758950,13.43689051
2175,597888.530992078129202,1480651.935345211764798,609435.536375870578922,1470651.935345211764798,14,45,3093.111857919022441,148489.000000000000000,1687.375000000000000,11.000000000000000,243078.742644847661722,105.95723210,13.34647880
2176,597888.530992078129202,1470651.935345211764798,609435.536375870578922,1460651.935345211764798,15,45,3441.798114154487848,107152.000000000000000,1217.636363636363740,11.000000000000000,234667.030531733005773,105.95687730,13.25606644
2177,597888.530992078129202,1460651.935345211764798,609435.536375870578922,1450651.935345211764798,16,45,136.124955520033836,3562.000000000000000,40.942528735632187,11.000000000000000,226384.851434219570365,105.95652510,13.16565343
2178,597888.530992078129202,1450651.935345211764798,609435.536375870578922,1440651.935345211764798,17,45,865.709723219275475,15532.000000000000000,176.500000000000000,11.000000000000000,218246.952663288218901,105.95617550,13.07523978
2179,597888.530992078129202,1440651.935345211764798,609435.536375870578922,1430651.935345211764798,18,45,402.407771393656731,7255.000000000000000,83.390804597701148,11.000000000000000,210270.086751282884507,105.95582860,12.98482548
2180,597888.530992078129202,1430651.935345211764798,609435.536375870578922,1420651.935345211764798,19,45,4540.483326781541109,173605.000000000000000,1972.784090909090992,11.000000000000000,202473.287289143045200,105.95548430,12.89441055
2181,597888.530992078129202,1420651.935345211764798,609435.536375870578922,1410651.935345211764798,20,45,13712.996696868911386,484194.000000000000000,5502.204545454545041,12.000000000000000,194878.168086296645924,105.95514260,12.80399499
2182,597888.530992078129202,1410651.935345211764798,609435.536375870578922,1400651.935345211764798,21,45,3176.654254693537951,111205.000000000000000,1249.494382022471882,11.000000000000000,187509.238106786069693,105.95480350,12.71357880
2183,597888.530992078129202,1400651.935345211764798,609435.536375870578922,1390651.935345211764798,22,45,2366.805500391871192,137073.000000000000000,1557.647727272727252,11.000000000000000,180394.218315897567663,105.95446700,12.62316198
2184,597888.530992078129202,1390651.935345211764798,609435.536375870578922,1380651.935345211764798,23,45,6518.779405919834971,384155.000000000058208,4316.348314606741951,11.000000000000000,173564.337569333292777,105.95413310,12.53274454
2185,597888.530992078129202,1380651.935345211764798,609435.536375870578922,1370651.935345211764798,24,45,1104.593569440767169,86054.000000000000000,956.155555555555566,11.000000000000000,167054.572513191727921,105.95380180,12.44232649
2186,597888.530992078129202,1370651.935345211764798,609435.536375870578922,1360651.935345211764798,25,45,2172.194069566205144,139166.000000000000000,1581.431818181818471,11.000000000000000,160903.781082915898878,105.95347300,12.35190782
2187,597888.530992078129202,1360651.935345211764798,609435.536375870578922,1350651.935345211764798,26,45,24989.629666334018111,1386803.000000000000000,15759.125000000000000,11.000000000000000,155154.661494362691883,105.95314690,12.26148855
2188,597888.530992078129202,1350651.935345211764798,609435.536375870578922,1340651.935345211764798,27,45,13933.906967077404261,391300.999999999941792,4446.602272727272975,11.000000000000000,149853.451236220775172,105.95282330,12.17106868
2189,597888.530992078129202,1340651.935345211764798,609435.536375870578922,1330651.935345211764798,28,45,10760.646115228531926,298600.000000000000000,3393.181818181818016,11.000000000000000,145049.268728164170170,105.95250240,12.08064820
2190,597888.530992078129202,1330651.935345211764798,609435.536375870578922,1320651.935345211764798,29,45,8469.603983767330647,226005.000000000000000,2597.758620689655345,11.000000000000000,140793.002371524082264,105.95218400,11.99022713
2191,597888.530992078129202,1320651.935345211764798,609435.536375870578922,1310651.935345211764798,30,45,16835.797002959996462,560146.000000000000000,6513.325581395349218,11.000000000000000,137135.678515387931839,105.95186810,11.89980547
